Wavelength,400 nm,442 nm,500 nm,550 nm,550 nm (2),600 nm,650 nm,700 nm,Large chequerboard (white1),Large chequerboard (white2),Large chequerboard (black1),Large chequerboard (black2),Printer paper (white),Printer paper (toner),dark skin,light skin,blue sky,foliage,blue flower,bluish green,orange,purplish blue,moderate red,purple,yellow green,orange yellow,blue,green,red,yellow,magenta,cyan,white 9.5 (.05 D),neutral 8 (.23 D),neutral 6.5 (.44 D),neutral 5 (.70 D),neutral 3.5 (1.05 D),black 2 (1.5 D),Optoma EP739 90 s after taking white reference,Optoma EP739 just after taking white reference,"400 nm, in wood holder","442 nm, hand-held",Small chequerboard (white1),Small chequerboard (white2),Small chequerboard (black1),Small chequerboard (black2)
360,0.010545,0.213629,0.026567,0.049795,0.03865,0.028766,0.0151,0.013097,0.101474,0.100945,0.057594,0.050597,0.34224,0.044596,0.058532,0.112242,0.098124,0.051086,0.087917,0.104721,0.060733,0.086404,0.093279,0.073305,0.073171,0.080588,0.078071,0.064522,0.061138,0.08635,0.086891,0.097996,0.141938,0.110295,0.091896,0.087502,0.057479,0.037473,1.000023,1.003592,0.011164,0.203795,0.078205,0.069543,0.044582,0.04238
361,0.004788,0.211976,0.028628,0.045137,0.034893,0.022806,0.00815,0.007446,0.101645,0.101116,0.059831,0.052291,0.341592,0.04515,0.058408,0.110886,0.098308,0.052137,0.089594,0.104123,0.062165,0.087991,0.093182,0.073656,0.072289,0.079835,0.078399,0.064619,0.058836,0.085328,0.08918,0.100812,0.141962,0.110463,0.092363,0.089523,0.056408,0.038065,0.993378,1.00296,0.006843,0.201637,0.079548,0.071731,0.045545,0.042149
362,0.004708,0.21132,0.032589,0.045142,0.03771,0.021664,0.00689,0.006273,0.100551,0.100048,0.060068,0.052928,0.340734,0.044085,0.058891,0.111207,0.098488,0.052814,0.090339,0.104122,0.062904,0.089462,0.093167,0.073758,0.072118,0.078569,0.078973,0.06483,0.058195,0.084369,0.091079,0.102418,0.141615,0.1113,0.092812,0.089552,0.057015,0.038491,0.990841,1.004031,0.006376,0.203395,0.078556,0.071278,0.04574,0.042064
363,0.009504,0.211386,0.036979,0.048708,0.044929,0.025132,0.010887,0.00899,0.098502,0.097894,0.058684,0.052538,0.339823,0.041934,0.059669,0.112705,0.098709,0.052964,0.090238,0.104625,0.062858,0.090655,0.093332,0.073907,0.072533,0.077064,0.079683,0.065136,0.058905,0.083498,0.092341,0.102753,0.140984,0.112504,0.093243,0.088164,0.058918,0.038735,0.99227,1.005789,0.009676,0.207738,0.07565,0.068494,0.045239,0.042268
364,0.00587,0.20062,0.026873,0.041638,0.029301,0.024267,0.007034,0.002489,0.098892,0.096783,0.059257,0.051688,0.340624,0.042501,0.058631,0.111691,0.099932,0.052127,0.090461,0.105063,0.063085,0.090695,0.094412,0.076466,0.072681,0.077555,0.081257,0.066789,0.059051,0.082771,0.09264,0.102201,0.141863,0.112775,0.093997,0.09012,0.058488,0.039569,0.986966,0.997816,0.008148,0.200302,0.075173,0.066757,0.045024,0.043989
365,0.013624,0.208053,0.030029,0.045191,0.034755,0.03032,0.010491,0.010934,0.09788,0.095444,0.05896,0.051508,0.340264,0.043754,0.059026,0.112332,0.101271,0.051789,0.092032,0.106091,0.063082,0.090851,0.094498,0.078213,0.072375,0.077792,0.081363,0.065593,0.058899,0.082607,0.092598,0.102679,0.142729,0.113699,0.094729,0.091366,0.058241,0.039665,0.986776,0.996539,0.015107,0.205014,0.073394,0.065966,0.04423,0.043123
366,0.021727,0.21953,0.036993,0.050352,0.045512,0.035447,0.015503,0.020995,0.096526,0.09451,0.05867,0.051681,0.339671,0.045096,0.059772,0.113854,0.102584,0.052011,0.094229,0.107343,0.062694,0.091496,0.094552,0.079422,0.071996,0.077904,0.0813,0.063738,0.058561,0.082782,0.09306,0.103703,0.143728,0.114938,0.095535,0.09205,0.058432,0.039401,0.989595,0.998806,0.021697,0.211708,0.07182,0.065761,0.043829,0.041679
367,0.011299,0.213516,0.034072,0.042439,0.037857,0.025316,0.013299,0.010755,0.096312,0.095329,0.059895,0.051948,0.34023,0.045662,0.059311,0.115691,0.10369,0.053349,0.096418,0.108439,0.061328,0.093701,0.096216,0.080225,0.072124,0.078022,0.08318,0.064396,0.058066,0.08318,0.095913,0.104919,0.14528,0.116224,0.096689,0.092032,0.059852,0.039132,0.99404,1.00165,0.012328,0.204061,0.073122,0.065968,0.045784,0.042592
368,0.008088,0.208712,0.032178,0.042417,0.039577,0.024862,0.008984,0.010805,0.096235,0.095408,0.058921,0.051793,0.341212,0.044213,0.060067,0.117677,0.105893,0.053266,0.09797,0.111025,0.061795,0.095928,0.097085,0.083448,0.071953,0.079087,0.085314,0.064821,0.057686,0.083242,0.098054,0.106343,0.146283,0.118085,0.099041,0.094226,0.060901,0.039691,0.994537,1.001153,0.006246,0.202023,0.072591,0.065805,0.045903,0.042918
369,0.007576,0.203837,0.030915,0.04219,0.03891,0.024317,0.007104,0.011848,0.095803,0.095069,0.058089,0.051432,0.342322,0.043466,0.0614,0.119174,0.107886,0.053418,0.099991,0.113427,0.062526,0.098391,0.098269,0.08667,0.072596,0.079703,0.087249,0.065652,0.057749,0.083377,0.100283,0.108135,0.147901,0.120052,0.1014,0.096539,0.061954,0.040479,0.994221,0.998235,0.004326,0.202318,0.071358,0.064965,0.045033,0.042684
370,0.008362,0.198155,0.030267,0.037635,0.029187,0.018753,0.010693,0.009567,0.094645,0.094327,0.058566,0.050894,0.343475,0.044956,0.063216,0.119749,0.10901,0.054683,0.103218,0.114834,0.062866,0.101326,0.100434,0.088789,0.074873,0.079059,0.088747,0.067349,0.058558,0.083807,0.103065,0.110529,0.150934,0.121979,0.103243,0.098047,0.063217,0.041299,0.994384,0.992536,0.008316,0.204063,0.069711,0.063055,0.043242,0.041712
371,0.011569,0.206933,0.030491,0.041125,0.031425,0.018693,0.009284,0.00972,0.095082,0.09431,0.058295,0.050343,0.344654,0.045112,0.061808,0.121145,0.111082,0.055089,0.106314,0.117187,0.063159,0.102113,0.101295,0.090384,0.07381,0.07986,0.089038,0.066763,0.058421,0.083341,0.103979,0.111154,0.151783,0.124694,0.106041,0.098726,0.063998,0.040326,0.98894,0.996012,0.007872,0.204898,0.069631,0.063056,0.043062,0.041084
372,0.012522,0.211915,0.029713,0.041568,0.03401,0.020302,0.009484,0.011337,0.095446,0.094939,0.058122,0.050627,0.346051,0.04481,0.061115,0.122077,0.113301,0.055101,0.109073,0.118948,0.063053,0.103608,0.102494,0.09126,0.073432,0.079553,0.089963,0.066304,0.058169,0.083003,0.105974,0.112141,0.153276,0.126885,0.10808,0.099915,0.064412,0.039777,0.986504,0.999407,0.009632,0.208951,0.070021,0.063526,0.043416,0.041027
373,0.010985,0.211449,0.027839,0.038285,0.035521,0.022582,0.01167,0.013916,0.0956,0.096108,0.058103,0.051702,0.347645,0.044167,0.061436,0.12253,0.115521,0.054789,0.111442,0.120048,0.062526,0.106023,0.104133,0.091587,0.074019,0.078076,0.091655,0.066198,0.057865,0.082865,0.109204,0.113679,0.155649,0.128512,0.109277,0.101663,0.0645,0.039822,0.987864,1.001621,0.013718,0.215749,0.070731,0.064237,0.044127,0.041492
374,0.009681,0.205621,0.025822,0.037631,0.030807,0.013764,0.011234,0.010179,0.096113,0.096191,0.057705,0.051391,0.348426,0.043491,0.061188,0.124652,0.116244,0.054333,0.112214,0.121788,0.061519,0.108099,0.104956,0.094897,0.073279,0.078947,0.093336,0.066133,0.05695,0.082383,0.111187,0.115421,0.15823,0.13104,0.110859,0.102411,0.064591,0.039689,0.9956,0.998926,0.010429,0.209225,0.071307,0.063667,0.044135,0.041428
375,0.011,0.204416,0.026186,0.036067,0.02946,0.012139,0.008916,0.007539,0.096777,0.096873,0.058026,0.051197,0.350157,0.042886,0.063141,0.126775,0.118663,0.055192,0.116281,0.124887,0.062266,0.110558,0.107223,0.098516,0.073813,0.080014,0.09618,0.066881,0.057567,0.082679,0.113719,0.118251,0.161354,0.134593,0.113742,0.104829,0.066335,0.039695,0.993433,0.997607,0.008645,0.206379,0.071581,0.064079,0.043543,0.041528
376,0.012685,0.20541,0.027002,0.034223,0.028882,0.014836,0.005489,0.006033,0.097722,0.097944,0.058591,0.051155,0.352529,0.042749,0.065683,0.128809,0.121922,0.056492,0.121764,0.128583,0.063648,0.113243,0.11001,0.101879,0.074827,0.080791,0.099427,0.067835,0.058565,0.083238,0.116649,0.121258,0.16472,0.138491,0.117282,0.107969,0.068636,0.039723,0.986829,0.996934,0.008383,0.205237,0.071683,0.065088,0.042831,0.041551
377,0.009289,0.203937,0.023654,0.033375,0.022807,0.017684,0.00187,0.00642,0.099527,0.099155,0.058322,0.051462,0.355246,0.044471,0.064976,0.130517,0.124407,0.056238,0.124768,0.131356,0.063156,0.115969,0.111286,0.103384,0.074556,0.079791,0.101415,0.067541,0.057148,0.082874,0.119934,0.122208,0.167786,0.141254,0.120324,0.10989,0.069013,0.039481,0.986311,0.995402,0.01072,0.201758,0.071842,0.066115,0.043172,0.040796
378,0.005034,0.20282,0.024281,0.035248,0.021528,0.01495,0.002289,0.00568,0.100497,0.099633,0.05801,0.050934,0.359044,0.0443,0.064766,0.133002,0.127344,0.05717,0.12942,0.134618,0.062,0.120032,0.113297,0.105381,0.074838,0.07994,0.104586,0.068108,0.057044,0.083136,0.123408,0.125151,0.171382,0.145813,0.123439,0.111999,0.07027,0.040034,0.989064,0.994268,0.007258,0.200299,0.07236,0.06592,0.042825,0.040946
379,0.004766,0.203415,0.026457,0.038579,0.024388,0.014362,0.005624,0.006246,0.101592,0.100694,0.057888,0.050526,0.362896,0.043867,0.065007,0.135682,0.130611,0.05799,0.134069,0.138168,0.061226,0.124376,0.115677,0.10853,0.075333,0.080678,0.107974,0.068661,0.057489,0.08328,0.127291,0.128569,0.175466,0.15044,0.126906,0.114224,0.071539,0.040586,0.990623,0.993484,0.00737,0.201028,0.073027,0.066297,0.042854,0.041458
380,0.013222,0.207276,0.029121,0.043101,0.032478,0.021974,0.012223,0.010269,0.103572,0.103546,0.058201,0.050972,0.366116,0.044242,0.065856,0.138265,0.134317,0.057732,0.137607,0.142045,0.06173,0.128435,0.118358,0.113843,0.075895,0.081858,0.111032,0.068574,0.058167,0.082724,0.131982,0.131629,0.180285,0.153997,0.13114,0.116602,0.072222,0.040572,0.987454,0.993118,0.018769,0.204857,0.07376,0.068784,0.044189,0.042096
381,0.014908,0.204692,0.02742,0.037778,0.02976,0.020887,0.011139,0.010077,0.105938,0.105097,0.058613,0.050849,0.369296,0.044747,0.067013,0.141558,0.13896,0.058942,0.14464,0.148028,0.062484,0.131879,0.120928,0.118204,0.077712,0.083234,0.114814,0.068778,0.05852,0.084046,0.136387,0.135689,0.18601,0.160062,0.136232,0.120501,0.074987,0.041745,0.986404,0.998816,0.017042,0.203254,0.074686,0.069684,0.043746,0.042343
382,0.014172,0.200779,0.024826,0.032795,0.026289,0.018837,0.00812,0.009709,0.107922,0.106688,0.058564,0.050788,0.373465,0.045138,0.067415,0.144476,0.143198,0.059892,0.15135,0.153119,0.063078,0.136304,0.123568,0.121948,0.078592,0.083584,0.118573,0.069061,0.058333,0.084675,0.140974,0.139087,0.191601,0.165783,0.140825,0.124151,0.076555,0.042196,0.985966,1.00179,0.014412,0.201069,0.075774,0.070579,0.043169,0.041971
383,0.011682,0.196408,0.02193,0.029819,0.023663,0.017016,0.004115,0.009744,0.10942,0.108549,0.057952,0.050897,0.378821,0.045352,0.066882,0.146863,0.146837,0.060296,0.157149,0.156849,0.063439,0.142016,0.126317,0.125134,0.078164,0.082693,0.122216,0.069401,0.057567,0.084182,0.14586,0.141578,0.196921,0.17075,0.144734,0.127279,0.07639,0.041606,0.985925,1.000646,0.012806,0.199066,0.077037,0.071723,0.042722,0.040928
384,0.012505,0.196907,0.022146,0.030156,0.023707,0.014983,0.005441,0.006188,0.11348,0.1115,0.058123,0.051489,0.383627,0.043835,0.067948,0.151307,0.152306,0.060207,0.163942,0.162874,0.063556,0.14754,0.128761,0.129752,0.078935,0.08349,0.127197,0.070387,0.058411,0.084097,0.1523,0.147137,0.203672,0.178995,0.151748,0.130976,0.078622,0.042348,0.987656,1.002106,0.015494,0.197236,0.079001,0.072748,0.042927,0.040976
385,0.012316,0.192678,0.020394,0.030626,0.023499,0.013689,0.004074,0.005317,0.11708,0.115078,0.059116,0.051696,0.389088,0.04334,0.069059,0.15467,0.157267,0.060227,0.171072,0.168553,0.063493,0.152665,0.130969,0.13464,0.079655,0.083716,0.131205,0.07024,0.058209,0.084144,0.157961,0.151801,0.210536,0.186515,0.157999,0.133986,0.080104,0.041987,0.98861,1.002098,0.015906,0.194621,0.080808,0.075235,0.043579,0.041271
386,0.012208,0.186833,0.01771,0.030585,0.022933,0.012993,0.001925,0.006062,0.120505,0.119026,0.060266,0.051619,0.394976,0.043788,0.069867,0.157352,0.162137,0.060237,0.178681,0.174138,0.063154,0.157756,0.133138,0.139466,0.080174,0.08351,0.134574,0.069405,0.057323,0.084242,0.163287,0.155912,0.217627,0.193729,0.163902,0.13666,0.08112,0.040958,0.988795,1.001414,0.015439,0.19151,0.082695,0.078647,0.044435,0.041632
387,0.016364,0.189368,0.017022,0.027117,0.021241,0.012912,0.005376,0.005949,0.124849,0.122694,0.059021,0.051427,0.400859,0.04565,0.0687,0.160447,0.168634,0.059734,0.187916,0.18069,0.061906,0.164376,0.136081,0.14292,0.079709,0.083063,0.138187,0.069092,0.056629,0.084106,0.169899,0.160468,0.225742,0.202224,0.170968,0.140202,0.08246,0.040448,0.987508,1.002371,0.018502,0.188402,0.085734,0.081667,0.044689,0.041378
388,0.022127,0.184797,0.01638,0.025112,0.019551,0.012273,0.005698,0.002636,0.129671,0.127811,0.059024,0.051708,0.407332,0.045879,0.06893,0.164501,0.175318,0.060449,0.198279,0.188426,0.061682,0.172238,0.139278,0.147734,0.080258,0.083825,0.143377,0.070097,0.056419,0.08376,0.178439,0.16589,0.235788,0.212492,0.178793,0.144642,0.084001,0.040216,0.986608,1.00147,0.021653,0.183267,0.09029,0.085791,0.044889,0.042179
389,0.028221,0.177805,0.015614,0.023815,0.018008,0.010611,0.003785,0.000425,0.134716,0.133176,0.059204,0.05179,0.413865,0.045364,0.069843,0.169019,0.182443,0.061488,0.209197,0.196763,0.061942,0.180788,0.142524,0.153198,0.081154,0.084702,0.14918,0.071237,0.056391,0.083806,0.187626,0.17193,0.246754,0.223839,0.187491,0.14945,0.085686,0.040573,0.986785,1.00045,0.026175,0.177997,0.095019,0.090197,0.044771,0.042833
390,0.034001,0.170982,0.014474,0.022831,0.016729,0.006921,0.000002,0.003555,0.140033,0.137917,0.05859,0.050898,0.420175,0.044563,0.071132,0.173932,0.190773,0.062171,0.220816,0.205761,0.062418,0.190177,0.145764,0.159169,0.081956,0.084699,0.15519,0.071452,0.05634,0.085059,0.196882,0.178909,0.258549,0.236594,0.197983,0.15448,0.087604,0.042164,0.989183,1.000739,0.034124,0.173924,0.098841,0.094375,0.043887,0.042084
391,0.055634,0.166711,0.016373,0.026365,0.018353,0.009582,0.004257,0.004468,0.147048,0.145013,0.059462,0.051986,0.427199,0.045482,0.072475,0.179255,0.198951,0.062655,0.233472,0.215748,0.062742,0.199555,0.149356,0.164902,0.082926,0.085095,0.161196,0.072131,0.056706,0.084982,0.207553,0.185669,0.271783,0.25037,0.20887,0.159346,0.090063,0.042113,0.986715,0.999315,0.055808,0.171413,0.106133,0.101959,0.045324,0.042991
392,0.078025,0.161649,0.016527,0.026451,0.018039,0.010651,0.006413,0.003739,0.154609,0.152557,0.060005,0.052824,0.434234,0.04598,0.07344,0.184007,0.207422,0.063422,0.246496,0.22604,0.062913,0.209168,0.152744,0.170083,0.083712,0.085473,0.167174,0.072283,0.057078,0.084833,0.218561,0.192385,0.285893,0.264913,0.219895,0.164402,0.092222,0.042146,0.984259,0.999465,0.077886,0.166339,0.114106,0.110074,0.046554,0.043726
393,0.098238,0.155064,0.013978,0.021498,0.014814,0.008513,0.00318,0.001516,0.162519,0.160155,0.059747,0.052844,0.441164,0.045493,0.073889,0.187928,0.21638,0.064619,0.259848,0.236567,0.062918,0.219167,0.155797,0.174621,0.084217,0.085733,0.173156,0.071617,0.057361,0.084913,0.229747,0.199143,0.300919,0.280333,0.231084,0.169787,0.09386,0.042698,0.982832,1.001842,0.097792,0.157844,0.122176,0.118101,0.046943,0.043825
394,0.124848,0.148732,0.0146,0.020163,0.015628,0.008668,0.003776,0.002339,0.169988,0.168068,0.059318,0.052174,0.449057,0.046342,0.073461,0.192491,0.225453,0.064936,0.274411,0.245874,0.062314,0.229723,0.158568,0.177945,0.084685,0.085718,0.179225,0.072629,0.056629,0.085198,0.243077,0.206639,0.318362,0.297515,0.243026,0.174477,0.095348,0.042407,0.982764,0.999829,0.12809,0.151333,0.131939,0.127407,0.04632,0.044054
395,0.148324,0.140034,0.012891,0.01835,0.013661,0.006892,0.002647,0.001935,0.179478,0.177017,0.059647,0.052342,0.456679,0.045984,0.074044,0.197115,0.234474,0.064869,0.289215,0.256484,0.062048,0.240374,0.161032,0.182259,0.084875,0.085648,0.18529,0.073095,0.056295,0.085131,0.256228,0.214224,0.337002,0.315518,0.255548,0.179497,0.096986,0.042218,0.983511,0.99885,0.154749,0.143412,0.142378,0.138592,0.046631,0.044499
396,0.168605,0.13026,0.0099,0.016214,0.010204,0.004324,0.000802,0.001012,0.190418,0.186677,0.060522,0.053067,0.464195,0.044823,0.075351,0.201656,0.24352,0.06464,0.304105,0.268076,0.062127,0.251147,0.163334,0.18721,0.084931,0.085623,0.191436,0.073158,0.056324,0.084847,0.26917,0.221893,0.35669,0.33436,0.268526,0.184715,0.098716,0.042199,0.98462,0.998771,0.177829,0.135009,0.153557,0.151244,0.047677,0.045076
397,0.185819,0.122481,0.008851,0.014217,0.009374,0.005155,0.002231,0.00246,0.200645,0.196017,0.060978,0.052883,0.472832,0.045021,0.075977,0.20544,0.25338,0.065318,0.318878,0.279475,0.062721,0.262728,0.166281,0.190998,0.085643,0.086227,0.198446,0.073761,0.056563,0.085054,0.282394,0.230058,0.378258,0.35562,0.282049,0.189487,0.100267,0.042729,0.984831,0.999455,0.198538,0.128688,0.16717,0.164581,0.048567,0.045406
398,0.186931,0.113739,0.007691,0.012179,0.009513,0.004281,0.002883,0.002275,0.212397,0.207467,0.061085,0.053233,0.48284,0.045532,0.076147,0.209619,0.262913,0.06558,0.333938,0.290642,0.062863,0.274225,0.168748,0.194292,0.08598,0.086289,0.204244,0.073799,0.056198,0.08504,0.296311,0.238183,0.400899,0.377361,0.295712,0.19368,0.101942,0.04277,0.983376,1.000005,0.203808,0.118761,0.182366,0.179229,0.049881,0.046399
399,0.176218,0.103876,0.006793,0.010312,0.00921,0.003142,0.002783,0.001471,0.224899,0.219761,0.061071,0.053581,0.493741,0.046063,0.076117,0.213679,0.27208,0.065772,0.348643,0.301452,0.062814,0.285338,0.170766,0.197276,0.086218,0.086098,0.209692,0.073744,0.055774,0.084834,0.310175,0.245917,0.424318,0.399251,0.309073,0.197594,0.103418,0.042593,0.982212,1.000067,0.195837,0.107169,0.198224,0.194604,0.050982,0.047287
400,0.152422,0.091341,0.006466,0.00865,0.007073,0.00277,0.001705,0.00064,0.23799,0.232106,0.061173,0.053204,0.505818,0.046241,0.076117,0.216995,0.280959,0.066335,0.36246,0.311937,0.062816,0.295852,0.172198,0.200134,0.08669,0.085901,0.215975,0.074191,0.055989,0.084358,0.323453,0.252845,0.449448,0.421754,0.321857,0.201627,0.104195,0.042437,0.982983,0.999182,0.171402,0.093813,0.214453,0.210904,0.05091,0.046989
401,0.120198,0.077003,0.005758,0.007926,0.005995,0.003006,0.001535,0.000658,0.252538,0.24624,0.061342,0.053662,0.519247,0.046597,0.076821,0.220012,0.289257,0.066527,0.375875,0.321972,0.062757,0.306577,0.173414,0.203838,0.087058,0.086397,0.221951,0.07443,0.056135,0.084747,0.336601,0.260622,0.476343,0.444995,0.334764,0.205462,0.105424,0.04272,0.983245,0.999708,0.136342,0.079691,0.233175,0.229049,0.051914,0.047692
402,0.091245,0.064628,0.004708,0.006674,0.004931,0.002852,0.001298,0.000718,0.267986,0.261129,0.061644,0.054033,0.533682,0.047061,0.077266,0.222633,0.29713,0.066457,0.388638,0.331549,0.062532,0.316751,0.174174,0.206653,0.087368,0.086465,0.227466,0.074356,0.055889,0.084901,0.34893,0.267865,0.503866,0.468181,0.346832,0.20882,0.106306,0.042846,0.982779,1.00001,0.104326,0.067278,0.252121,0.247479,0.052795,0.048447
403,0.066214,0.054149,0.003389,0.004762,0.003684,0.002234,0.000844,0.000675,0.284607,0.276835,0.062137,0.053979,0.549473,0.047637,0.077073,0.224796,0.304706,0.066105,0.400788,0.340764,0.062061,0.326199,0.17431,0.20784,0.08763,0.085626,0.232485,0.073865,0.055054,0.084388,0.360278,0.274127,0.532324,0.491507,0.357799,0.211573,0.106506,0.042577,0.981724,0.999875,0.076333,0.056356,0.270887,0.266041,0.053124,0.048948
404,0.046385,0.046288,0.003055,0.003861,0.003354,0.001693,0.001072,0.000423,0.303389,0.29463,0.062284,0.05452,0.568062,0.048392,0.077159,0.226494,0.311787,0.066606,0.412565,0.349063,0.062512,0.335531,0.175498,0.210579,0.08784,0.085407,0.237657,0.074192,0.0553,0.084435,0.371063,0.28011,0.561851,0.51466,0.368523,0.21461,0.107361,0.042607,0.981559,0.999405,0.053706,0.047496,0.291906,0.286341,0.054034,0.04955
405,0.032328,0.04046,0.002776,0.003238,0.002986,0.001426,0.001007,0.000419,0.322853,0.313258,0.062284,0.054741,0.58802,0.048752,0.076983,0.228323,0.31836,0.066713,0.422756,0.356489,0.062197,0.343683,0.175816,0.212458,0.087822,0.085378,0.242564,0.074576,0.055285,0.084228,0.380897,0.286154,0.591816,0.537032,0.378429,0.216939,0.108008,0.042558,0.981879,0.999245,0.037597,0.041221,0.312822,0.306751,0.054677,0.050146
406,0.022003,0.035912,0.002492,0.002768,0.002583,0.001309,0.000793,0.000542,0.343034,0.33277,0.062216,0.054657,0.609208,0.048809,0.076618,0.230239,0.324404,0.06643,0.431496,0.363142,0.061264,0.350775,0.175303,0.213583,0.08765,0.085441,0.247204,0.074952,0.055002,0.0838,0.389729,0.292186,0.62206,0.558527,0.387499,0.218619,0.108493,0.042488,0.982411,0.9993,0.025725,0.036595,0.333587,0.32721,0.055095,0.05073
