Wavelength,400 nm,442 nm,500 nm,550 nm,600 nm,650 nm,700 nm,Large chequerboard (white),Large chequerboard (black),Printer paper (white),Printer paper (toner),dark skin,light skin,blue sky,foliage,blue flower,bluish green,orange,purplish blue,moderate red,purple,yellow green,orange yellow,blue,green,red,yellow,magenta,cyan,white 9.5 (.05 D),neutral 8 (.23 D),neutral 6.5 (.44 D),neutral 5 (.70 D),neutral 3.5 (1.05 D),black 2 (1.5 D),Small chequerboard (white),Small chequerboard (black)
1287,0.481695,0.0912,0.051911,0.1664415,0.841201,0.153029,0.23157,0.979239,0.0512805,0.976201,0.074645,0.286874,0.921431,0.417153,0.246682,0.920692,0.957949,0.74803,0.973521,0.724538,0.654179,0.763861,0.887693,0.907596,0.760486,0.803397,0.956916,0.923604,0.545191,1.041601,0.680913,0.344519,0.146346,0.075031,0.046478,0.9200765,0.0598935
1288,0.242596,0.227726,0.029719,0.107413,1.002176,0.021692,0.279443,0.9791935,0.0513505,0.976436,0.074747,0.287002,0.921491,0.41712,0.246822,0.920711,0.957942,0.748064,0.973456,0.72452,0.654384,0.763829,0.887776,0.907643,0.760586,0.803435,0.956969,0.923636,0.545066,1.041546,0.68099,0.344426,0.146401,0.074952,0.046499,0.9202255,0.0599225
1289,0.281505,0.422292,0.027065,0.3647285,1.017461,0.085297,0.404754,0.979418,0.051315,0.976794,0.074667,0.287138,0.921512,0.41708,0.246952,0.920661,0.95783,0.748081,0.973413,0.724548,0.654375,0.763861,0.887778,0.907548,0.760599,0.803465,0.956982,0.923503,0.545041,1.041396,0.680993,0.344315,0.146284,0.074956,0.046526,0.9205895,0.0599185
1290,0.446962,0.647273,0.012592,0.809593,1.030837,0.23246,0.620206,0.9796775,0.051281,0.977173,0.074565,0.287303,0.921563,0.417062,0.247038,0.920652,0.957741,0.748119,0.97342,0.724598,0.65437,0.763933,0.887813,0.907469,0.760651,0.80353,0.957039,0.923375,0.545051,1.041309,0.681026,0.344223,0.14613,0.074952,0.046561,0.920971,0.0599085
1291,0.692704,0.692839,0.066845,0.5022585,1.091156,0.21479,0.763045,0.979865,0.051311,0.977247,0.074618,0.287423,0.92162,0.417119,0.247053,0.920853,0.957743,0.748229,0.973482,0.724748,0.654614,0.764053,0.887937,0.907677,0.76078,0.80355,0.957136,0.923429,0.545076,1.041383,0.681178,0.344282,0.146105,0.074947,0.046533,0.9211865,0.0598715
1292,0.899067,0.804829,0.12609,0.129069,1.208179,0.090363,0.885956,0.980019,0.0513535,0.977202,0.074741,0.287505,0.921659,0.417181,0.247115,0.921086,0.957745,0.748322,0.97354,0.724913,0.654906,0.76415,0.888051,0.907925,0.760871,0.803532,0.957171,0.923527,0.545093,1.041441,0.681331,0.344385,0.146107,0.074979,0.046495,0.9213455,0.059836
1293,0.989835,0.433369,0.357856,0.1106215,0.892759,0.55754,0.558877,0.9802435,0.051354,0.97723,0.074899,0.287684,0.921715,0.417288,0.247258,0.921275,0.95773,0.748467,0.973778,0.725012,0.655159,0.764395,0.888179,0.908265,0.761035,0.803607,0.957223,0.923817,0.545116,1.041626,0.681311,0.34446,0.145958,0.07492,0.04662,0.921512,0.05988
1294,0.967641,0.109423,0.509441,0.139512,0.558247,1.026639,0.159679,0.980498,0.0513065,0.977326,0.075055,0.287885,0.92178,0.4174,0.247356,0.92143,0.957748,0.748661,0.973992,0.725076,0.655379,0.764721,0.888328,0.908609,0.761242,0.803779,0.957355,0.924172,0.545157,1.041835,0.681224,0.344521,0.145787,0.07479,0.046819,0.9217175,0.0599295
1295,0.842873,0.193844,0.566641,0.2612175,0.615835,1.036834,0.184518,0.980629,0.05121,0.977435,0.075173,0.287991,0.921794,0.417404,0.247485,0.921503,0.95774,0.748776,0.973983,0.725088,0.655497,0.76489,0.888434,0.908686,0.76133,0.803963,0.957429,0.924246,0.545193,1.041823,0.681188,0.344433,0.1458,0.074833,0.046854,0.9217185,0.0599205
1296,0.767988,0.498466,0.658764,0.3659835,0.69047,0.70445,0.381353,0.980729,0.051122,0.977571,0.075218,0.288063,0.921806,0.417387,0.247625,0.921509,0.957714,0.748793,0.973934,0.725093,0.655629,0.764983,0.888508,0.908666,0.761383,0.804096,0.95742,0.924139,0.545199,1.041741,0.681201,0.344287,0.145849,0.074979,0.04672,0.92165,0.0599265
1297,0.588592,0.596477,0.457691,0.403108,0.54991,0.292167,0.350574,0.981075,0.0511005,0.97778,0.07522,0.288137,0.921786,0.41734,0.24763,0.921463,0.957711,0.74879,0.973919,0.725116,0.65575,0.764993,0.888475,0.908587,0.761447,0.804136,0.957321,0.924059,0.545129,1.041694,0.681231,0.344185,0.145783,0.074997,0.046544,0.921833,0.059947
1298,0.457797,0.387283,0.134673,0.4382365,0.470379,0.062985,0.300243,0.98156,0.051146,0.977973,0.075226,0.288211,0.921693,0.417201,0.247551,0.921387,0.957615,0.748771,0.973858,0.725133,0.65576,0.764845,0.888368,0.908399,0.761429,0.804097,0.957134,0.924003,0.544983,1.041579,0.681262,0.344113,0.145684,0.074929,0.046444,0.9221045,0.059955
1299,0.50109,0.226278,0.030729,0.599869,0.578759,0.148615,0.291287,0.9817575,0.051206,0.977999,0.075204,0.288276,0.92168,0.417136,0.24755,0.921496,0.957507,0.748754,0.973848,0.725193,0.655812,0.764786,0.888404,0.90827,0.76139,0.804143,0.957009,0.924013,0.544943,1.041438,0.681309,0.344135,0.145547,0.07488,0.046408,0.922247,0.059987
1300,0.638933,0.359246,0.17708,0.878265,0.849746,0.525146,0.324551,0.981688,0.0512075,0.977948,0.075168,0.288342,0.92181,0.417282,0.247654,0.921744,0.95753,0.748892,0.974003,0.725338,0.656015,0.764959,0.888612,0.908378,0.761472,0.804336,0.957046,0.924186,0.545127,1.041447,0.681399,0.344187,0.145385,0.074854,0.046404,0.9223305,0.060024
1301,0.661597,0.514634,0.535777,0.861378,0.923909,0.772069,0.551695,0.9817335,0.051164,0.97796,0.075171,0.288478,0.921867,0.417446,0.247767,0.921837,0.957628,0.749056,0.974137,0.725484,0.656273,0.765152,0.888818,0.908598,0.761657,0.804532,0.957058,0.924317,0.54526,1.041473,0.681462,0.344178,0.145284,0.074829,0.046434,0.92244,0.0600145
1302,0.526964,0.486055,1.050594,0.7482535,0.943712,0.950185,1.122959,0.981899,0.051125,0.978018,0.075215,0.288638,0.921707,0.417425,0.24793,0.921772,0.957661,0.749113,0.974173,0.725503,0.656547,0.765299,0.888896,0.908705,0.76183,0.804612,0.956914,0.924214,0.54515,1.041366,0.681458,0.344151,0.14524,0.074776,0.046522,0.9225445,0.0599995
1303,0.380863,0.506714,1.184803,0.797271,0.92004,1.118795,1.574521,0.981946,0.051118,0.978091,0.075268,0.288728,0.921558,0.41734,0.248126,0.921725,0.957608,0.749181,0.97419,0.725476,0.656747,0.765356,0.888899,0.90874,0.761937,0.804622,0.956777,0.92411,0.54503,1.041177,0.681464,0.344118,0.145184,0.074735,0.046578,0.922605,0.0600305
1304,0.203713,0.821637,0.621385,0.972921,0.72819,1.138755,1.802226,0.9818615,0.051138,0.978128,0.075324,0.288818,0.921633,0.417263,0.248242,0.921779,0.957611,0.749285,0.974163,0.72551,0.656783,0.765371,0.888924,0.908792,0.761966,0.804674,0.956739,0.924164,0.54496,1.040908,0.681509,0.344038,0.145137,0.074704,0.046501,0.9226645,0.060083
1305,0.001227,1.48503,0.142057,1.253587,0.753099,1.348389,2.133607,0.9818415,0.051144,0.97814,0.075381,0.288966,0.921742,0.417227,0.248338,0.92184,0.957632,0.749353,0.974143,0.725581,0.656857,0.765431,0.888994,0.908816,0.76199,0.804766,0.956755,0.924193,0.544872,1.040709,0.681554,0.343957,0.14508,0.074686,0.046417,0.92275,0.0601205
